id,项目名称,网址,zbkzj,下浮率,kbjj
A3311011160013169,缙云县壶镇新型城镇化工程—体育运动馆项目,http://lssggzy.lishui.gov.cn/art/2023/6/29/art_1229662089_216347.html,23524706.163934425,8.5,21525106.14
A3311011160013168,凤官桥项目设计,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229661812_216128.html,0.0,0.0,0.0
A3311011160013064,仙渡乡生活污水设施“强基增效双提标”建设改造项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229661852_216211.html,0.0,0.0,0.0
A3311011160013172,长江经济带丽水市龙石溪流域生态修复工程-排水管网改造（官山片区）,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229661812_216239.html,17141622.0,9.0,15598876.02
A3311011160013167,缙云县壶镇新型城镇化工程-少年活动中心项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229662089_216241.html,34952183.49576271,5.6,32994861.22
A3311011160013161,2023年丽水市普通国道桥隧维修加固工程（庆元县）,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229662056_216199.html,13289400.16,0.0,13289400.16
A3311011160012988,缙云县保障房工程全过程监理,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229662089_216198.html,5155150.0,0.0,5155150.0
A3311011160013178,云和县普光未来社区创建项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229661989_216143.html,0.0,0.0,0.0
A3311011160013141,汤垟乡集镇滨水道路异域风情提升项目-“侨乡南境花园”提升改造项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229661956_216234.html,0.0,0.0,0.0
A3311011160013182,庆元县五都香菇小镇农产品营销综合体（一事一议）项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229662056_216099.html,6555116.404612159,4.6,6253581.05
A3311011160013160,松阳县全域土地综合整治项目（山下阳片区）设计采购施工（EPC）工程总承包,http://lssggzy.lishui.gov.cn/art/2023/6/27/art_1229662157_216022.html,0.0,0.0,0.0
A3311011160013111,2023年丽水市主城区二次供水改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/27/art_1229661852_216059.html,0.0,0.0,0.0
A3311011160013143,330国道缙云东渡至永康交界段改建工程房屋拆迁安置房建设项目洋岙村安置点边坡工程,http://lssggzy.lishui.gov.cn/art/2023/6/27/art_1229662089_216032.html,15085748.303030303,1.0,14934890.82
A3311011160013094,云和县第二污水处理厂工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/6/27/art_1229661989_216020.html,0.0,0.0,0.0
A3311011160013164,壶镇新型城镇化工程-文创园项目初步设计(文创园),http://lssggzy.lishui.gov.cn/art/2023/6/27/art_1229662089_216123.html,0.0,0.0,0.0
A3311011160013121,龙泉市剑池片区2023年度老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661923_215503.html,0.0,0.0,0.0
A3311011160013136,山炮绿矿区修复及峡谷风情一体化开发项目-汤垟“侨山秀水”古道探寻项目,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661956_215727.html,0.0,0.0,0.0
A3311011160013177,景宁畲族自治县标准化矿产资源综合利用基地项目（生产基地）,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229662190_216008.html,0.0,0.0,0.0
A3311011160013180,丽水市第二人民医院老年康复大楼工程手术部净化工程,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661812_216018.html,0.0,0.0,0.0
A3311011160013139,龙泉市龙渊片区2023年度老旧小区改造工程（一期）—莱茵花园区块改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661923_215534.html,0.0,0.0,0.0
A3311011160013149,龙泉市龙渊片区2023年度老旧小区改造工程（一期）—创美苑区块改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661923_215722.html,0.0,0.0,0.0
A3311011160013184,青田县油竹街道东赤村生活污水零直排项目,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661956_215946.html,8097551.264994547,8.3,7425454.51
A3311011160013146,松阳县松阳大道（暂名）拓宽改造工程设计,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229662157_215855.html,0.0,0.0,0.0
A3311011160013023,青田县技工学校新建工程设计,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661956_215897.html,0.0,0.0,0.0
A3311011160013076,丽水市缙云县大洋生态价值实现示范项目初步设计,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229662089_215860.html,0.0,0.0,0.0
A3311011160013157,龙泉市棋盘山区块基础设施综合提升项目—道路改造工程（林岭线）监理,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661923_216007.html,965700.0,0.0,965700.0
A3311011160013000,五云街道2022-7号地块-仙都中学北侧施工图设计,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229662089_215850.html,0.0,0.0,0.0
A3311011160013132,235国道景宁东坑至景泰交界段改建工程招标代理和造价咨询机构选择,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229662190_215963.html,0.0,0.0,0.0
A3311011160013156,龙泉市龙渊片区2023年度老旧小区改造工程（一期）-龙华小区区块、龙翔路拆迁安置小区区块、工商行政管理局西侧宿舍区块改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229661923_215888.html,5875307.302771855,6.2,5511038.25
A3311011160013155,遂昌县2023年老旧小区改造项目--北街沿线区块,http://lssggzy.lishui.gov.cn/art/2023/6/26/art_1229662124_215927.html,9271103.165775402,6.5,8668481.46
A3311011160013124,遂昌县 2023 年农村公路边坡处治及桥梁维修加固工程,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229662124_215842.html,19396110.3030303,1.0,19202149.2
A3311011160012982,浙江省庆元抽水蓄能电站筹建期工程设计-采购-施工总承包（EPC）,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229662056_215858.html,0.0,0.0,0.0
A3311011160013166,遂昌县东城新区产教融合项目-职教园区迁建工程,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229662124_215845.html,396390293.9016737,4.4,378949120.97
A3311011160013159,龙泉市龙渊片区2023年度老旧小区改造工程（一期）监理,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229661923_215784.html,1285300.0,10.0,1156770.0
A3311011160013104,浙江省庆元抽水蓄能电站招标设计和施工图设计阶段勘察设计及相关服务,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229662056_215143.html,0.0,0.0,0.0
A3311011160013148,遂昌县东城新区产教融合项目-职教园区迁建工程施工监理,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662124_215741.html,4133200.0,0.0,4133200.0
A3311011160013106,鼎湖路改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662089_215698.html,27144130.3959276,11.6,23995411.27
A3311011160013087,缙云县公共卫生及应急医疗救治设施提升工程——县人民医院新碧分院区项目设计,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662089_215599.html,0.0,0.0,0.0
A3311011160013135,丽水创新金融中心一期项目初步设计及施工图设计,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661812_215579.html,0.0,0.0,0.0
A3311011160013137,松阳田园文化创意园4#、5#楼装修工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662157_215582.html,24319273.63737486,10.1,21863027.0
A3311011160013126,龙泉市上下水南未来社区—上下水南地块建设全过程代建代销项目,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661923_215627.html,0.0,0.0,0.0
A3311011160013134,浙江省庆元抽水蓄能电站监理服务,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662056_215756.html,0.0,0.0,0.0
A3311011160013029,缙云县中心镇养老院建设工程-新建镇养老院建设工程设计采购施工EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662089_215440.html,0.0,0.0,0.0
A3311011160012521,K地块、余庄前二期等安置小区亮化工程,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661812_215554.html,6449083.995510662,10.9,5746133.84
A3311011160013127,2023年G528龙广线丽水市遂昌县大树下等4座隧道维修加固工程,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662124_215473.html,6610799.74,0.0,6610799.74
A3311011160013101,景宁县滩坑水库库尾消落带水生态修复与综合治理工程前期,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662190_215571.html,0.0,0.0,0.0
A3311011160013073,遂昌县大柘镇云上茶歇、桃谷浮云驿站、岭上人家民宿等提升项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662124_215493.html,7870392.402597402,7.6,7272242.58
A3311011160012986,莲都区“大搬快聚”富民安居工程秋塘安置小区项目水文设备采购安装项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661852_215489.html,0.0,0.0,0.0
A3311011160013115,莲都工投分布式屋顶光伏项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661852_215483.html,0.0,0.0,0.0
A3311011160013032,仙都-誉鑫220KV线路工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/6/19/art_1229662089_215271.html,0.0,0.0,0.0
A3311011160013154,遂昌县2023年老旧小区改造项目——西街沿线区块,http://lssggzy.lishui.gov.cn/art/2023/6/19/art_1229662124_215331.html,16868631.802002225,10.1,15164899.99
A3311011160013097,义龙庆高速濂竹互通连接线工程全过程工程咨询服务,http://lssggzy.lishui.gov.cn/art/2023/6/19/art_1229661812_215333.html,21055952.0,0.0,21055952.0
A3311011160012987,缙云县保障房工程全过程代建开发项目,http://lssggzy.lishui.gov.cn/art/2023/6/19/art_1229662089_215305.html,0.0,0.0,0.0
A3311011160013078,庆元县公安局“公安大脑”指挥中心及附属项目,http://lssggzy.lishui.gov.cn/art/2023/6/16/art_1229662056_215225.html,5268558.234042554,6.0,4952444.74
A3311011160012994,千峡湖小溪流域外舍断面至大均段水生态修复工程（外舍断面至大赤坑段）EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/6/16/art_1229662190_215164.html,0.0,0.0,0.0
