"id","source_website_address","city","zbkzj","kbjj","k1","k2"
"ah-luan-0c1d56c5-c271-4dc3-903c-6ee3981c991a_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0c1d56c5-c271-4dc3-903c-6ee3981c991a&categorynum=001001012&relationguid=0c1d56c5-c271-4dc3-903c-6ee3981c991a","六安市",,,,
"ah-luan-0c636e90-09c7-4ebc-99b0-47815ce8af0e_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0c636e90-09c7-4ebc-99b0-47815ce8af0e&categorynum=001001012&relationguid=0c636e90-09c7-4ebc-99b0-47815ce8af0e","六安市","17543437.84","15777948.42",,
"ah-luan-0dd46669-4856-4c64-9792-b67bd3997aa8_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0dd46669-4856-4c64-9792-b67bd3997aa8&categorynum=001001012&relationguid=0dd46669-4856-4c64-9792-b67bd3997aa8","六安市","6262991.57","5765885.59",,
"ah-luan-0dfb711b-923c-4c09-9972-ee36db21779f_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0dfb711b-923c-4c09-9972-ee36db21779f&categorynum=001001012&relationguid=0dfb711b-923c-4c09-9972-ee36db21779f","六安市",,,,
"ah-luan-0e23df1f-155b-4e64-9f37-07b273c9f4e7_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0e23df1f-155b-4e64-9f37-07b273c9f4e7&categorynum=001001012&relationguid=0e23df1f-155b-4e64-9f37-07b273c9f4e7","六安市","230786171.06","200783968.83",,
"ah-luan-0e3828a3-566a-4272-b8cb-867098624a60_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0e3828a3-566a-4272-b8cb-867098624a60&categorynum=001001012&relationguid=0e3828a3-566a-4272-b8cb-867098624a60","六安市","4825016.55","4342514.90",,
"ah-luan-0ebd9f6e-e07a-4778-8083-1c5dc0aacfb5_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0ebd9f6e-e07a-4778-8083-1c5dc0aacfb5&categorynum=001001012&relationguid=0ebd9f6e-e07a-4778-8083-1c5dc0aacfb5","六安市",,,,
"ah-luan-0fca3cd9-17f4-4566-94ad-e742e028eec3_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0fca3cd9-17f4-4566-94ad-e742e028eec3&categorynum=001001012&relationguid=0fca3cd9-17f4-4566-94ad-e742e028eec3","六安市","10000000.0","9688000.00",,
"ah-luan-102cf1b2-8941-4d77-b087-998a9822b257_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=102cf1b2-8941-4d77-b087-998a9822b257&categorynum=001001012&relationguid=102cf1b2-8941-4d77-b087-998a9822b257","六安市","7899609.89","7416153.76",,
"ah-luan-1109a867-a63c-4f02-b938-1c5a863e16c8_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1109a867-a63c-4f02-b938-1c5a863e16c8&categorynum=001001012&relationguid=1109a867-a63c-4f02-b938-1c5a863e16c8","六安市",,,,
"ah-luan-115261eb-8422-45e0-bb2f-0758cc39e705_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=115261eb-8422-45e0-bb2f-0758cc39e705&categorynum=001001012&relationguid=115261eb-8422-45e0-bb2f-0758cc39e705","六安市","6223523.97","6098119.97",,
"ah-luan-138f309e-6f0c-4d35-a5a1-d1f155f69294_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=138f309e-6f0c-4d35-a5a1-d1f155f69294&categorynum=001001012&relationguid=138f309e-6f0c-4d35-a5a1-d1f155f69294","六安市",,,,
"ah-luan-1573b0a6-04ea-428b-9af0-0d92e055bc31_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1573b0a6-04ea-428b-9af0-0d92e055bc31&categorynum=001001012&relationguid=1573b0a6-04ea-428b-9af0-0d92e055bc31","六安市",,,,
"ah-luan-159195ce-4106-46a2-8712-cc2d803c87ca_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=159195ce-4106-46a2-8712-cc2d803c87ca&categorynum=001001012&relationguid=159195ce-4106-46a2-8712-cc2d803c87ca","六安市","28500000000.0","2686370.00",,
